GeneID,Symbol,Entry,Entry Name,Gene Names
9322,TRIP10,Q15642,CIP4_HUMAN,TRIP10 CIP4 STOT STP
10203,CALCRL,Q16602,CALRL_HUMAN,CALCRL CGRPR
4818,NKG7,Q16617,NKG7_HUMAN,NKG7 GIG1
23274,CLEC16A,Q2KHT3,CL16A_HUMAN,CLEC16A KIAA0350
3127,HLA-DRB5,Q30154,DRB5_HUMAN,HLA-DRB5
123745,PLA2G4E,Q3MJ16,PA24E_HUMAN,PLA2G4E
79158,GNPTAB,Q3T906,GNPTA_HUMAN,GNPTAB GNPTA KIAA1208
203547,VMA21,Q3ZAQ7,VMA21_HUMAN,VMA21 MEAX XMEA
84861,KLHL22,Q53GT1,KLH22_HUMAN,KLHL22
124997,WDR81,Q562E7,WDR81_HUMAN,WDR81
27346,TMEM97,Q5BJF2,SGMR2_HUMAN,TMEM97 MAC30 S2R
9737,GPRASP1,Q5JY77,GASP1_HUMAN,GPRASP1 GASP KIAA0443
56270,WDR45B,Q5MNZ6,WIPI3_HUMAN,WDR45B WDR45L WIPI3
338557,FFAR4,Q5NUL3,FFAR4_HUMAN,FFAR4 GPR120 GPR129 O3FAR1 PGR4
120892,LRRK2,Q5S007,LRRK2_HUMAN,LRRK2 PARK8
134829,CLVS2,Q5SYC1,CLVS2_HUMAN,CLVS2 C6orf212 C6orf213 RLBP1L2
23334,SZT2,Q5T011,SZT2_HUMAN,SZT2 C1orf84 KIAA0467
220972,MARCHF8,Q5T0T0,MARH8_HUMAN,MARCHF8 MARCH8 MIR RNF178
23352,UBR4,Q5T4S7,UBR4_HUMAN,UBR4 KIAA0462 KIAA1307 RBAF600
55275,VPS53,Q5VIR6,VPS53_HUMAN,VPS53 PP13624
55432,YOD1,Q5VVQ6,OTU1_HUMAN,YOD1 DUBA8 HIN7 OTUD2 PRO0907
10325,RRAGB,Q5VZM2,RRAGB_HUMAN,RRAGB
55435,AP1AR,Q63HQ0,AP1AR_HUMAN,AP1AR C4orf16 PRO0971
55054,ATG16L1,Q676U5,A16L1_HUMAN,ATG16L1 APG16L UNQ9393/PRO34307
138050,HGSNAT,Q68CP4,HGNAT_HUMAN,HGSNAT TMEM76
23503,ZFYVE26,Q68DK2,ZFY26_HUMAN,ZFYVE26 KIAA0321
55004,LAMTOR1,Q6IAA8,LTOR1_HUMAN,LAMTOR1 C11orf59 PDRO PP7157
201475,RAB12,Q6IQ22,RAB12_HUMAN,RAB12
80131,LRRC8E,Q6NSJ5,LRC8E_HUMAN,LRRC8E
126321,MFSD12,Q6NUT3,MFS12_HUMAN,MFSD12 C19orf28
55652,SLC48A1,Q6P1K1,HRG1_HUMAN,SLC48A1 HRG1
55681,SCYL2,Q6P3W7,SCYL2_HUMAN,SCYL2 CVAK104 KIAA1360
79887,PLBD1,Q6P4A8,PLBL1_HUMAN,PLBD1
84750,FUT10,Q6P4F1,OFUT3_HUMAN,FUT10 POFUT3
79626,TNFAIP8L2,Q6P589,TP8L2_HUMAN,TNFAIP8L2
57707,MEAK7,Q6P9B6,MEAK7_HUMAN,MEAK7 KIAA1609 TLDC1
79726,WDR59,Q6PJI9,WDR59_HUMAN,WDR59 KIAA1923 FP977
388552,BLOC1S3,Q6QNY0,BL1S3_HUMAN,BLOC1S3 BLOS3
282991,BLOC1S2,Q6QNY1,BL1S2_HUMAN,BLOC1S2 BLOS2 CEAP
253260,RICTOR,Q6R327,RICTR_HUMAN,RICTOR KIAA1999
51374,ATRAID,Q6UW56,ARAID_HUMAN,ATRAID APR3 C2orf28 HSPC013 UNQ214/PRO240
153642,ARSK,Q6UWY0,ARSK_HUMAN,ARSK TSULF UNQ630/PRO1246
128338,DRAM2,Q6UX65,DRAM2_HUMAN,DRAM2 TMEM77 PSEC0031 UNQ154/PRO180
57535,ELAPOR1,Q6UXG2,ELAP1_HUMAN,ELAPOR1 EIG121 KIAA1324 UNQ2426/PRO4985
120103,SLC36A4,Q6YBV0,S36A4_HUMAN,SLC36A4 PAT4
54849,DEF8,Q6ZN54,DEFI8_HUMAN,DEF8
22863,ATG14,Q6ZNE5,BAKOR_HUMAN,ATG14 ATG14L KIAA0831
285180,RUFY4,Q6ZNE9,RUFY4_HUMAN,RUFY4
54896,SLC66A1,Q6ZP29,LAAT1_HUMAN,SLC66A1 PQLC2
146691,TOM1L2,Q6ZVM7,TM1L2_HUMAN,TOM1L2
54832,VPS13C,Q709C8,VP13C_HUMAN,VPS13C KIAA1421
201294,UNC13D,Q70J99,UN13D_HUMAN,UNC13D
22902,RUFY3,Q7L099,RUFY3_HUMAN,RUFY3 KIAA0871
10670,RRAGA,Q7L523,RRAGA_HUMAN,RRAGA
