GeneID,Symbol,Entry,Entry Name,Gene Name
112770,GLMP,Q8WWB7,GLMP_HUMAN,UNQ2553/PRO6182
129807,NEU4,Q8WWR8,NEUR4_HUMAN,NEU4
129807,NEU4,Q8WWR8,NEUR4_HUMAN,LP5125
23461,ABCA5,Q8WWZ7,ABCA5_HUMAN,ABCA5
23461,ABCA5,Q8WWZ7,ABCA5_HUMAN,KIAA1888
126298,IRGQ,Q8WZA9,IRGQ_HUMAN,IRGQ
126298,IRGQ,Q8WZA9,IRGQ_HUMAN,IRGQ1
126298,IRGQ,Q8WZA9,IRGQ_HUMAN,FKSG27
7248,TSC1,Q92574,TSC1_HUMAN,TSC1
7248,TSC1,Q92574,TSC1_HUMAN,KIAA0243
7248,TSC1,Q92574,TSC1_HUMAN,TSC
9711,RUBCN,Q92622,RUBIC_HUMAN,RUBCN
9711,RUBCN,Q92622,RUBIC_HUMAN,KIAA0226
6653,SORL1,Q92673,SORL_HUMAN,SORL1
6653,SORL1,Q92673,SORL_HUMAN,C11orf32
3037,HAS2,Q92819,HYAS2_HUMAN,HAS2
8836,GGH,Q92820,GGH_HUMAN,GGH
3257,HPS1,Q92902,HPS1_HUMAN,HPS1
3257,HPS1,Q92902,HPS1_HUMAN,HPS
6578,SLCO2A1,Q92959,SO2A1_HUMAN,SLCO2A1
6578,SLCO2A1,Q92959,SO2A1_HUMAN,OATP2A1
6578,SLCO2A1,Q92959,SO2A1_HUMAN,SLC21A2
6039,RNASE6,Q93091,RNAS6_HUMAN,RNASE6
6039,RNASE6,Q93091,RNAS6_HUMAN,RNS6
84343,HPS3,Q969F9,HPS3_HUMAN,HPS3
118426,BORCS5,Q969J3,BORC5_HUMAN,BORCS5
118426,BORCS5,Q969J3,BORC5_HUMAN,LOH12CR1
55846,ITFG2,Q969R8,ITFG2_HUMAN,ITFG2
94107,TMEM203,Q969S6,TM203_HUMAN,TMEM203
83933,HDAC10,Q969S8,HDA10_HUMAN,HDAC10
64114,TMBIM1,Q969X1,LFG3_HUMAN,TMBIM1
64114,TMBIM1,Q969X1,LFG3_HUMAN,LFG3
64114,TMBIM1,Q969X1,LFG3_HUMAN,RECS1
64114,TMBIM1,Q969X1,LFG3_HUMAN,PP1201
64114,TMBIM1,Q969X1,LFG3_HUMAN,PSEC0158
338382,RAB7B,Q96AH8,RAB7B_HUMAN,RAB7B
81552,VOPP1,Q96AW1,VOPP1_HUMAN,VOPP1
81552,VOPP1,Q96AW1,VOPP1_HUMAN,ECOP
81552,VOPP1,Q96AW1,VOPP1_HUMAN,GASP
65082,VPS33A,Q96AX1,VP33A_HUMAN,VPS33A
120224,TMEM45B,Q96B21,TM45B_HUMAN,TMEM45B
57561,ARRDC3,Q96B67,ARRD3_HUMAN,ARRDC3
57561,ARRDC3,Q96B67,ARRD3_HUMAN,KIAA1376
127829,ARL8A,Q96BM9,ARL8A_HUMAN,ARL8A
127829,ARL8A,Q96BM9,ARL8A_HUMAN,ARL10B
127829,ARL8A,Q96BM9,ARL8A_HUMAN,GIE2
122618,PLD4,Q96BZ4,PLD4_HUMAN,PLD4
122618,PLD4,Q96BZ4,PLD4_HUMAN,C14orf175
122618,PLD4,Q96BZ4,PLD4_HUMAN,UNQ2488/PRO5775
94121,SYTL4,Q96C24,SYTL4_HUMAN,SYTL4
92421,CHMP4C,Q96CF2,CHM4C_HUMAN,CHMP4C
92421,CHMP4C,Q96CF2,CHM4C_HUMAN,SHAX3
1173,AP2M1,Q96CW1,AP2M1_HUMAN,AP2M1
1173,AP2M1,Q96CW1,AP2M1_HUMAN,CLAPM1
1173,AP2M1,Q96CW1,AP2M1_HUMAN,KIAA0109
219738,FAM241B,Q96D05,F241B_HUMAN,FAM241B
219738,FAM241B,Q96D05,F241B_HUMAN,C10orf35
138065,RNF183,Q96D59,RN183_HUMAN,RNF183
29919,RMC1,Q96DM3,RMC1_HUMAN,RMC1
29919,RMC1,Q96DM3,RMC1_HUMAN,C18orf8
29919,RMC1,Q96DM3,RMC1_HUMAN,MIC1
29919,RMC1,Q96DM3,RMC1_HUMAN,WDR98
116211,TM4SF19,Q96DZ7,T4S19_HUMAN,TM4SF19
116211,TM4SF19,Q96DZ7,T4S19_HUMAN,OCTM4
29911,HOOK2,Q96ED9,HOOK2_HUMAN,HOOK2
81929,SEH1L,Q96EE3,SEH1_HUMAN,SEH1L
81929,SEH1L,Q96EE3,SEH1_HUMAN,SEC13L
81929,SEH1L,Q96EE3,SEH1_HUMAN,SEH1
22901,ARSG,Q96EG1,ARSG_HUMAN,ARSG
22901,ARSG,Q96EG1,ARSG_HUMAN,KIAA1001
22901,ARSG,Q96EG1,ARSG_HUMAN,UNQ839/PRO1777
84062,DTNBP1,Q96EV8,DTBP1_HUMAN,DTNBP1
84062,DTNBP1,Q96EV8,DTBP1_HUMAN,BLOC1S8
